MMSI,Vessel,Timestamp,Latitude,Longitude
123456789,Vessel Alpha,2026-08-28 06:00:00,18.36,69.72
123456789,Vessel Alpha,2026-08-28 07:00:00,18.370833333333334,69.735
123456789,Vessel Alpha,2026-08-28 08:00:00,18.381666666666668,69.75
123456789,Vessel Alpha,2026-08-28 09:00:00,18.3925,69.765
123456789,Vessel Alpha,2026-08-28 10:00:00,18.403333333333332,69.78
123456789,Vessel Alpha,2026-08-28 11:00:00,18.414166666666667,69.795
123456789,Vessel Alpha,2026-08-28 12:00:00,18.424999999999997,69.81
123456789,Vessel Alpha,2026-08-28 13:00:00,18.43583333333333,69.825
123456789,Vessel Alpha,2026-08-28 14:00:00,18.446666666666665,69.84
123456789,Vessel Alpha,2026-08-28 15:00:00,18.4575,69.855
123456789,Vessel Alpha,2026-08-28 16:00:00,18.468333333333334,69.87
123456789,Vessel Alpha,2026-08-28 17:00:00,18.479166666666664,69.885
123456789,Vessel Alpha,2026-08-28 18:00:00,18.49,69.9
234567890,Vessel Bravo,2026-08-28 06:00:00,18.3,69.7
234567890,Vessel Bravo,2026-08-28 07:00:00,18.310833333333335,69.71083333333334
234567890,Vessel Bravo,2026-08-28 08:00:00,18.321666666666665,69.72166666666666
234567890,Vessel Bravo,2026-08-28 09:00:00,18.3325,69.7325
234567890,Vessel Bravo,2026-08-28 10:00:00,18.343333333333334,69.74333333333334
234567890,Vessel Bravo,2026-08-28 11:00:00,18.354166666666668,69.75416666666666
234567890,Vessel Bravo,2026-08-28 12:00:00,18.365000000000002,69.765
234567890,Vessel Bravo,2026-08-28 13:00:00,18.375833333333333,69.77583333333334
234567890,Vessel Bravo,2026-08-28 14:00:00,18.386666666666667,69.78666666666666
234567890,Vessel Bravo,2026-08-28 15:00:00,18.3975,69.7975
234567890,Vessel Bravo,2026-08-28 16:00:00,18.40833333333333,69.80833333333334
234567890,Vessel Bravo,2026-08-28 17:00:00,18.419166666666666,69.81916666666666
234567890,Vessel Bravo,2026-08-28 18:00:00,18.43,69.83
345678901,Vessel Charlie,2026-08-28 06:00:00,18.2,69.6
345678901,Vessel Charlie,2026-08-28 07:00:00,18.2125,69.61
345678901,Vessel Charlie,2026-08-28 08:00:00,18.225,69.61999999999999
345678901,Vessel Charlie,2026-08-28 09:00:00,18.2375,69.63
345678901,Vessel Charlie,2026-08-28 10:00:00,18.25,69.64
345678901,Vessel Charlie,2026-08-28 11:00:00,18.2625,69.64999999999999
345678901,Vessel Charlie,2026-08-28 12:00:00,18.275,69.66
345678901,Vessel Charlie,2026-08-28 13:00:00,18.2875,69.67
345678901,Vessel Charlie,2026-08-28 14:00:00,18.3,69.67999999999999
345678901,Vessel Charlie,2026-08-28 15:00:00,18.3125,69.69
345678901,Vessel Charlie,2026-08-28 16:00:00,18.325000000000003,69.7
345678901,Vessel Charlie,2026-08-28 17:00:00,18.337500000000002,69.71
345678901,Vessel Charlie,2026-08-28 18:00:00,18.35,69.72
456789012,Vessel Delta,2026-08-28 06:00:00,18.7,69.55
456789012,Vessel Delta,2026-08-28 07:00:00,18.704166666666666,69.55416666666666
456789012,Vessel Delta,2026-08-28 08:00:00,18.708333333333332,69.55833333333334
456789012,Vessel Delta,2026-08-28 09:00:00,18.7125,69.5625
456789012,Vessel Delta,2026-08-28 10:00:00,18.716666666666665,69.56666666666666
456789012,Vessel Delta,2026-08-28 11:00:00,18.72083333333333,69.57083333333333
456789012,Vessel Delta,2026-08-28 12:00:00,18.725,69.57499999999999
456789012,Vessel Delta,2026-08-28 13:00:00,18.729166666666668,69.57916666666667
456789012,Vessel Delta,2026-08-28 14:00:00,18.733333333333334,69.58333333333333
456789012,Vessel Delta,2026-08-28 15:00:00,18.7375,69.58749999999999
456789012,Vessel Delta,2026-08-28 16:00:00,18.741666666666667,69.59166666666667
456789012,Vessel Delta,2026-08-28 17:00:00,18.745833333333334,69.59583333333333
456789012,Vessel Delta,2026-08-28 18:00:00,18.75,69.6
567890123,Vessel Echo,2026-08-28 06:00:00,18.1,70.2
567890123,Vessel Echo,2026-08-28 07:00:00,18.104166666666668,70.20416666666667
567890123,Vessel Echo,2026-08-28 08:00:00,18.108333333333334,70.20833333333334
567890123,Vessel Echo,2026-08-28 09:00:00,18.1125,70.2125
567890123,Vessel Echo,2026-08-28 10:00:00,18.116666666666667,70.21666666666667
567890123,Vessel Echo,2026-08-28 11:00:00,18.120833333333334,70.22083333333333
567890123,Vessel Echo,2026-08-28 12:00:00,18.125,70.225
567890123,Vessel Echo,2026-08-28 13:00:00,18.129166666666666,70.22916666666667
567890123,Vessel Echo,2026-08-28 14:00:00,18.133333333333333,70.23333333333333
567890123,Vessel Echo,2026-08-28 15:00:00,18.1375,70.2375
567890123,Vessel Echo,2026-08-28 16:00:00,18.141666666666666,70.24166666666667
567890123,Vessel Echo,2026-08-28 17:00:00,18.145833333333332,70.24583333333334
567890123,Vessel Echo,2026-08-28 18:00:00,18.15,70.25
